[GLUe]_0	Values[V_OXPHOS].InitialValue	(OXPHOS).Flux
0.5	34.44	7.18851
0.5	34.475	7.18881
0.5	34.51	7.1891
0.5	34.545	7.1894
0.5	34.58	7.1897
0.5	34.615	7.18999
0.5	34.65	7.19029
0.5	34.685	7.19058
0.5	34.72	7.19087
0.5	34.755	7.19116
0.5	34.79	7.19146
0.5	34.825	7.19175
0.5	34.86	7.19203
0.5	34.895	7.19232
0.5	34.93	7.19261
0.5	34.965	7.1929
0.5	35	7.19318

5	0	0
5	0.035	0.0248339
5	0.07	0.0496601
5	0.105	0.0744783
5	0.14	0.0992882
5	0.175	0.12409
5	0.21	0.148882
5	0.245	0.173666
5	0.28	0.19844
5	0.315	0.223205
5	0.35	0.24796
5	0.385	0.272704
5	0.42	0.297439
5	0.455	0.322163
5	0.49	0.346876
5	0.525	0.371578
5	0.56	0.396268
5	0.595	0.420948
5	0.63	0.445615
5	0.665	0.47027
5	0.7	0.494914
5	0.735	0.519545
5	0.77	0.544163
5	0.805	0.568768
5	0.84	0.593361
5	0.875	0.61794
5	0.91	0.642505
5	0.945	0.667057
5	0.98	0.691596
5	1.015	0.71612
5	1.05	0.740629
5	1.085	0.765125
5	1.12	0.789606
5	1.155	0.814071
5	1.19	0.838522
5	1.225	0.862958
5	1.26	0.887378
5	1.295	0.911783
5	1.33	0.936172
5	1.365	0.960545
5	1.4	0.984901
5	1.435	1.00924
5	1.47	1.03357
5	1.505	1.05787
5	1.54	1.08216
5	1.575	1.10644
5	1.61	1.13069
5	1.645	1.15493
5	1.68	1.17915
5	1.715	1.20336
5	1.75	1.22754
5	1.785	1.25171
5	1.82	1.27586
5	1.855	1.29999
5	1.89	1.3241
5	1.925	1.3482
5	1.96	1.37227
5	1.995	1.39633
5	2.03	1.42036
5	2.065	1.44438
5	2.1	1.46838
5	2.135	1.49235
5	2.17	1.51631
5	2.205	1.54025
5	2.24	1.56416
5	2.275	1.58806
